Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Georgina Piper,2025_05_23_05,The Liberals' suburban wipe-out has complicated leadership discussions,https://www.abc.net.au/news/2025-05-06/election-map-cities-liberal-leadership/105255218,ABC,https://www.abc.net.au,2025_05_05_19
Georgina Piper,2025_05_23_05,"Where things went right for Labor, and very wrong for the Coalition",https://www.abc.net.au/news/2025-05-04/election-result-map-how-labor-won/105208988,ABC,https://www.abc.net.au,2025_05_04_02
Georgina Piper,2025_05_23_05,Here's how Trump turned the election map on its head,https://www.abc.net.au/news/2024-11-06/us-election-results-map-donald-trump-victory-path/104558036,ABC,https://www.abc.net.au,2024_11_11_02
Georgina Piper,2025_05_23_05,See how Trump's election wins (and loss) compare,https://www.abc.net.au/news/2024-11-07/donald-trump-election-results-map-2016-2020-2024/104558542,ABC,https://www.abc.net.au,2024_11_11_02
Georgina Piper,2025_05_23_05,Explore the scale of Trump's triumph,https://www.abc.net.au/news/2024-11-06/election-results-map-interactive/104557846,ABC,https://www.abc.net.au,2024_11_07_00
Georgina Piper,2025_05_23_05,How the swing states will decide the US election,https://www.abc.net.au/news/2024-11-05/us-election-states-polling-paths-to-victory/104557084,ABC,https://www.abc.net.au,2024_11_06_02
Georgina Piper,2025_05_23_05,Donald Trump doesn't need the popular vote to win the election,https://www.abc.net.au/news/2024-11-04/how-does-the-us-electoral-college-work/104413680,ABC,https://www.abc.net.au,2024_11_05_00
Georgina Piper,2025_05_23_05,Score these 3 dives to find out if you can cut it as an Olympic judge,https://www.abc.net.au/news/2024-08-06/paris-olympics-diving-judging/104186894,ABC,https://www.abc.net.au,2024_08_06_08
Georgina Piper,2025_05_23_05,Into the 'midnight zone': Here's what happens when you go as deep as the Titanic wreck,https://www.abc.net.au/news/2023-06-23/titanic-submersible-deep-sea-scroller/102504810,ABC,https://www.abc.net.au,2023_06_23_01
Georgina Piper,2025_05_23_05,A visual history of data breaches in Australia reveals a problem of staggering scale,https://www.abc.net.au/news/2023-03-28/detailed-portrait-data-breaches-oaic-disclosures/102131586,ABC,https://www.abc.net.au,2023_03_27_22
