Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Jonathan Hair,2026_05_16_05,Neo-Nazis fundraising to challenge laws that listed them as hate group,https://www.abc.net.au/news/2026-05-16/thomas-sewell-appears-with-us-extremist-james-mason/106683510,ABC,https://www.abc.net.au,2026_05_15_18
Jonathan Hair,2026_05_16_05,"What we know about Cole Tomas Allen, Donald Trump's would-be assassin",https://www.abc.net.au/news/2026-04-27/what-we-know-about-cole-allen-white-house-shooter/106610236,ABC,https://www.abc.net.au,2026_04_27_19
Jonathan Hair,2026_05_16_05,Marine traffic 'down to zero' due to Middle East conflict,https://www.abc.net.au/news/2026-03-04/marine-traffic-data-shows-no-oil-tankers-strait-of-hormuz/106413082,ABC,https://www.abc.net.au,2026_03_04_00
Jonathan Hair,2026_05_16_05,"Satellite images show destruction at huge oil refinery, Iranian nuclear facility",https://www.abc.net.au/news/2026-03-03/satellite-images-destruction-at-oil-refinery-iran-nuclear-base/106408822,ABC,https://www.abc.net.au,2026_03_03_01
Jonathan Hair,2026_05_16_05,Satellite images show extent of destruction where Iran's supreme leader was killed,https://www.abc.net.au/news/2026-03-01/abc-verify-satellite-over-ayatollah-compound/106402030,ABC,https://www.abc.net.au,2026_03_01_09
Jonathan Hair,2026_05_16_05,Visual clues showed the US preparing to attack Iran,https://www.abc.net.au/news/2026-02-19/tracking-us-military-build-up-ahead-of-possible-iran-attack/106363224,ABC,https://www.abc.net.au,2026_02_28_10
Jonathan Hair,2026_05_16_05,Excessive or reasonable? Police actions at Sydney's protest analysed,https://www.abc.net.au/news/2026-02-11/verify-police-use-of-force-town-hall-protest/106328358,ABC,https://www.abc.net.au,2026_02_10_20
Jonathan Hair,2026_05_16_05,AI deepfakes of Bondi gunman spread online,https://www.abc.net.au/news/2025-12-18/verify-disinformation-and-deepfakes-after-bondi-attack/106154250,ABC,https://www.abc.net.au,2025_12_17_19
Jonathan Hair,2026_05_16_05,Misinformation rife on Bondi shooting,https://www.abc.net.au/listen/programs/worldtoday/misinformation-rife-on-bondi-shooting/106153742,ABC,https://www.abc.net.au,2025_12_17_02
Jonathan Hair,2026_05_16_05,The most pervasive false information on the Bondi terror attack,https://www.abc.net.au/news/2025-12-17/abc-news-verify-misinformation-bondi-terrorist-attack/106150286,ABC,https://www.abc.net.au,2025_12_16_23
