Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Ben Spraggon,2026_02_08_06,What are the chances the RBA will raise interest rates?,https://www.abc.net.au/news/2026-02-02/will-the-rba-lift-interest-rates/106286450,ABC,https://www.abc.net.au,2026_02_02_23
ABC Ben Spraggon,2026_02_08_06,'Third party' vote looks set to beat Coalition,https://www.abc.net.au/news/2025-05-10/election-results-independents-rising-charts/105267162,ABC,https://www.abc.net.au,2025_05_12_05
ABC Ben Spraggon,2026_02_08_06,This triangle helps explain a titanic shift in how Australia votes,https://www.abc.net.au/news/2025-04-24/election-data-rise-independents-major-party-drift/105144918,ABC,https://www.abc.net.au,2025_04_23_23
ABC Ben Spraggon,2026_02_08_06,Track wind speeds and rainfall live from Cyclone Alfred,https://www.abc.net.au/news/2025-03-07/cyclone-alfred-wind-speeds-and-rainfall/105020014,ABC,https://www.abc.net.au,2025_03_10_23
ABC Ben Spraggon,2026_02_08_06,Track rainfall and wind speeds after ex-Cyclone Alfred,https://www.abc.net.au/news/2025-03-11/ex-tropical-cyclone-alfred-track-wind-speeds-rain-totals-qld-nsw/105035246,ABC,https://www.abc.net.au,2025_03_10_20
ABC Ben Spraggon,2026_02_08_06,Track rainfall and wind speed as Alfred moves inland,https://www.abc.net.au/news/2025-03-10/ex-tropical-cyclone-alfred-track-wind-speeds-rain-totals-qld-nsw/105031350,ABC,https://www.abc.net.au,2025_03_10_02
ABC Ben Spraggon,2026_02_08_06,Track rainfall and wind speed as Alfred moves inland,https://www.abc.net.au/news/2025-03-09/ex-tropical-cyclone-alfred-track-wind-speeds-rain-totals-qld-nsw/105028992,ABC,https://www.abc.net.au,2025_03_09_22
ABC Ben Spraggon,2026_02_08_06,Track wind speeds live as Cyclone Alfred approaches coast,https://www.abc.net.au/news/2025-03-06/tc-alfred-wind-speeds/105008714,ABC,https://www.abc.net.au,2025_03_06_05
ABC Ben Spraggon,2026_02_08_06,Here's how Trump turned the election map on its head,https://www.abc.net.au/news/2024-11-06/us-election-results-map-donald-trump-victory-path/104558036,ABC,https://www.abc.net.au,2024_11_11_02
ABC Ben Spraggon,2026_02_08_06,See how Trump's election wins (and loss) compare,https://www.abc.net.au/news/2024-11-07/donald-trump-election-results-map-2016-2020-2024/104558542,ABC,https://www.abc.net.au,2024_11_11_02
