Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Daniel Brettig,2024_12_06_05,"Cummins reveals Australia’s XI for Adelaide Test, calls out Fox commentators",https://www.theage.com.au/sport/cricket/cummins-reveals-australia-s-xi-for-second-test-in-adelaide-20241205-p5kw30.html,The Age,https://www.theage.com.au/,2024_12_05_05
Daniel Brettig,2024_12_06_05,Baird rejects Cricket Australia ‘hypocrisy’ accusation over Afghanistan,https://www.theage.com.au/sport/cricket/baird-rejects-cricket-australia-hypocrisy-accusation-over-afghanistan-20241205-p5kw0d.html,The Age,https://www.theage.com.au/,2024_12_05_01
Daniel Brettig,2024_12_06_05,India ban open net sessions after carnival crowd distracts players,https://www.theage.com.au/sport/cricket/selfies-while-batting-and-laughter-from-over-the-fence-india-ban-open-training-sessions-20241204-p5kvp3.html,The Age,https://www.theage.com.au/,2024_12_04_05
Daniel Brettig,2024_12_06_05,Why Travis Head stopped answering questions about opening for Australia,https://www.theage.com.au/sport/cricket/why-travis-head-stopped-answering-questions-about-opening-for-australia-20241204-p5kvoy.html,The Age,https://www.theage.com.au/,2024_12_04_00
Daniel Brettig,2024_12_06_05,A close-up view of under-fire Labuschagne’s pre-Test net session,https://www.theage.com.au/sport/cricket/a-close-up-view-of-under-fire-labuschagne-s-pre-test-net-session-20241203-p5kvcz.html,The Age,https://www.theage.com.au/,2024_12_03_08
Daniel Brettig,2024_12_06_05,Cricket NSW apologises to Zampa after claims it was forced to pick him,https://www.theage.com.au/sport/cricket/nsw-apologise-to-zampa-after-claims-they-were-forced-to-pick-him-20241203-p5kvif.html,The Age,https://www.theage.com.au/,2024_12_03_03
Daniel Brettig,2024_12_06_05,Former NRL boss Greenberg chosen for cricket’s top job,https://www.theage.com.au/sport/cricket/former-nrl-boss-greenberg-chosen-for-cricket-s-top-job-20241202-p5kv6q.html,The Age,https://www.theage.com.au/,2024_12_03_03
Daniel Brettig,2024_12_06_05,Late arrival Marsh likely to play as specialist batter,https://www.theage.com.au/sport/cricket/late-arrival-marsh-likely-to-play-as-specialist-batter-20241202-p5kv1q.html,The Age,https://www.theage.com.au/,2024_12_02_08
Daniel Brettig,2024_12_06_05,Looking forward to a summer of cricket action,https://www.theage.com.au/sport/cricket/looking-forward-to-a-summer-of-cricket-action-20241129-p5kun3.html,The Age,https://www.theage.com.au/,2024_11_29_05
Daniel Brettig,2024_12_06_05,‘It’s just all awkward’: Why Bumrah is Australia’s worst nightmare,https://www.theage.com.au/sport/cricket/it-s-just-all-awkward-why-bumrah-is-australia-s-worst-nightmare-20241126-p5ktns.html,The Age,https://www.theage.com.au/,2024_11_29_01
