Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Thomas Brettell,2024_08_20_08,Five wait lists. 14 months. Not one day of child care. This is the reality for families like Leah Ann's,https://www.abc.net.au/news/2024-08-20/mapping-australia-s-growing-childcare-divide/104243302,ABC,https://www.abc.net.au,2024_08_19_20
ABC Thomas Brettell,2024_08_20_08,Scott Pendlebury is a footy outlier and here's the proof,https://www.abc.net.au/news/2024-08-03/afl-data-shows-scott-pendlebury-records/104159092,ABC,https://www.abc.net.au,2024_08_05_06
ABC Thomas Brettell,2024_08_20_08,'Totally immoral' weapons found in share holdings of Australian ethical super funds,https://www.abc.net.au/news/2024-07-01/ethical-super-savings-found-in-controversial-weapons-makers-/104015686,ABC,https://www.abc.net.au,2024_07_16_05
ABC Thomas Brettell,2024_08_20_08,The 'big boof' is out. What data reveals about football's hair trends,https://www.abc.net.au/news/2024-05-23/afl-mullet-count-data-analysis/103850072,ABC,https://www.abc.net.au,2024_07_08_07
ABC Thomas Brettell,2024_08_20_08,"The three crucial words police say they didn't hear when they botched this arrest – costing taxpayers $320,000",https://www.abc.net.au/news/2024-03-18/how-proactive-policing-quotas-sent-nsw-police-searches-soaring/103579210,ABC,https://www.abc.net.au,2024_04_09_01
ABC Thomas Brettell,2024_08_20_08,"In the early 70s, four paedophiles taught together at this school. Survivors say it was a sign of an insidious crisis",https://www.abc.net.au/news/2024-02-27/beaumaris-primary-inquiry-scratches-surface-of-paedophile-crisis/103503912,ABC,https://www.abc.net.au,2024_02_27_02
ABC Thomas Brettell,2024_08_20_08,This is the magic income set to win the biggest percentage tax cut from the revised plan,https://www.abc.net.au/news/2024-02-06/magic-income-set-to-win-biggest-tax-cut-from-stage-3-redesign/103428918,ABC,https://www.abc.net.au,2024_02_08_02
ABC Thomas Brettell,2024_08_20_08,"Nurse, teacher, surgeon — is your job likely to win from the revised tax cuts?",https://www.abc.net.au/news/2024-02-02/biggest-winners-and-losers-of-revised-stage-3-tax-cuts/103415830,ABC,https://www.abc.net.au,2024_02_02_07
ABC Thomas Brettell,2024_08_20_08,'I feel like we've all been lied to': Fund members shocked to find green retirement savings invested in fossil fuels,https://www.abc.net.au/news/2023-12-14/sustainable-ethical-super-funds-with-fossil-fuel-investment/103196032,ABC,https://www.abc.net.au,2023_12_18_08
ABC Thomas Brettell,2024_08_20_08,How Australia's push into rooftop solar is powering the suburbs,https://www.abc.net.au/news/2023-10-31/how-rooftop-solar-panels-transformed-energy-in-australia/102987100,ABC,https://www.abc.net.au,2023_10_31_00
