Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Cody Atkinson,2026_09_26_08,Lions list changes but machine the same ahead of fourth grand final,https://www.abc.net.au/news/2026-09-26/lions-changed-but-same-machine-for-fourth-grand-final/107194940,ABC,https://www.abc.net.au,2026_09_25_20
ABC Cody Atkinson,2026_09_26_08,Front-running Freo ready to claim first flag,https://www.abc.net.au/news/2026-09-25/afl-grand-final-fremantle-dockers-analysis-preview/107194876,ABC,https://www.abc.net.au,2026_09_25_05
ABC Cody Atkinson,2026_09_26_08,More votes than three entire clubs: How Nick Daicos won the Brownlow,https://www.abc.net.au/news/2026-09-22/sport-how-daicos-won-brownlow-medal/107180320,ABC,https://www.abc.net.au,2026_09_22_01
ABC Cody Atkinson,2026_09_26_08,How Swans rebuilt their midfield to challenge for premiership,https://www.abc.net.au/news/2026-09-18/afl-sydney-swans-fremantle-dockers-preliminary-final/107163234,ABC,https://www.abc.net.au,2026_09_17_19
ABC Cody Atkinson,2026_09_26_08,Lions' shock loss to Swans was about more than complacency,https://www.abc.net.au/news/2026-09-12/afl-finals-brisbane-lions-sydney-swans-adelaide-crows/107142558,ABC,https://www.abc.net.au,2026_09_11_21
ABC Cody Atkinson,2026_09_26_08,"Recent finals history is against Freo, but these numbers could save them",https://www.abc.net.au/news/2026-09-11/afl-fremantle-vs-geelong-analysis-key-stats-preview/107137866,ABC,https://www.abc.net.au,2026_09_10_19
ABC Cody Atkinson,2026_09_26_08,Adelaide returns to scene of finals flop to face biggest test of growth,https://www.abc.net.au/news/2026-09-05/afl-adelaide-midfield-test-western-bulldogs-analysis/107116116,ABC,https://www.abc.net.au,2026_09_04_19
ABC Cody Atkinson,2026_09_26_08,"Breaking down the brilliance of Nick Daicos, and how to stop it",https://www.abc.net.au/news/2026-08-28/breaking-down-the-brilliance-of-nick-daicos/107083730,ABC,https://www.abc.net.au,2026_08_27_19
ABC Cody Atkinson,2026_09_26_08,Resting or tanking? Why your AFL club may not win before finals,https://www.abc.net.au/news/2026-08-07/why-afl-teams-tank-and-whether-it-works-draft/107002986,ABC,https://www.abc.net.au,2026_08_06_19
ABC Cody Atkinson,2026_09_26_08,Have the AFL's rule changes worked? Not exactly,https://www.abc.net.au/news/2026-07-24/have-the-afl-s-rule-changes-worked/106954180,ABC,https://www.abc.net.au,2026_07_24_08
