Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Alex Lim,2026_05_29_05,"Batteries are ushering in a new energy era, and Australia is miles ahead",https://www.abc.net.au/news/2026-05-28/australia-global-battery-leader-and-wa-leads-charge/106526042,ABC,https://www.abc.net.au,2026_05_27_18
ABC Alex Lim,2026_05_29_05,The parts of Victoria adding the biggest share to disaster damage bills,https://www.abc.net.au/news/2026-05-19/victoria-infrastructure-risk-from-climate-change/106678950,ABC,https://www.abc.net.au,2026_05_19_00
ABC Alex Lim,2026_05_29_05,A tropical tax paradise sells much of Australia's gas,https://www.abc.net.au/news/2026-05-11/australian-gas-giants-using-singapore-to-reduce-taxes/106632272,ABC,https://www.abc.net.au,2026_05_15_02
ABC Alex Lim,2026_05_29_05,What we know about the 'small fire' that became an 'unprecedented' Geelong refinery blaze,https://www.abc.net.au/news/2026-04-17/geelong-refinery-fire-visual-explainer/106571216,ABC,https://www.abc.net.au,2026_04_17_02
ABC Alex Lim,2026_05_29_05,Iran fuel shock turns EV uptake into a matter of national security,https://www.abc.net.au/news/2026-03-24/fuel-security-exposed-by-iran-war-but-renewables-offer-an-out/106452696,ABC,https://www.abc.net.au,2026_03_25_03
ABC Alex Lim,2026_05_29_05,The summers of today are vastly different to those of our grandparents,https://www.abc.net.au/news/2026-03-12/australias-summers-are-getting-longer-with-more-extreme-heat/106419414,ABC,https://www.abc.net.au,2026_03_18_00
ABC Alex Lim,2026_05_29_05,In coal country this battery didn't stand a chance,https://www.abc.net.au/news/2026-02-28/misinformation-kills-narrabri-community-battery-project/106120264,ABC,https://www.abc.net.au,2026_02_27_19
ABC Alex Lim,2026_05_29_05,No time to warn or to prepare: Natimuk met the fire of our future,https://www.abc.net.au/news/2026-01-17/natimuk-fire-shows-new-climate-driven-faster-kind-of-bushfire/106225970,ABC,https://www.abc.net.au,2026_01_16_23
ABC Alex Lim,2026_05_29_05,Australia may just be one step ahead in the global race to rewire the world ,https://www.abc.net.au/news/2025-11-21/transmission-line-projects-faces-massive-challenges/106029214,ABC,https://www.abc.net.au,2025_11_20_19
ABC Alex Lim,2026_05_29_05,Free power as wind farms grind to a halt. What’s happening?,https://www.abc.net.au/news/2025-11-10/renewable-energy-spilled-as-generation-outgrows-demand-/105929716,ABC,https://www.abc.net.au,2025_11_09_20
