Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Alex Lim,2026_07_14_06,World Cup contends with heat in test case for sport,https://www.abc.net.au/news/2026-07-11/the-world-cup-just-had-one-of-its-hottest-matches/106888996,ABC,https://www.abc.net.au,2026_07_11_01
ABC Alex Lim,2026_07_14_06,The key ingredient keeping the snow season alive,https://www.abc.net.au/news/2026-07-09/snow-machines-climate-change-ski-season/106870830,ABC,https://www.abc.net.au,2026_07_08_22
ABC Alex Lim,2026_07_14_06,New data shines light on state of EV public charger network,https://www.abc.net.au/news/science/2026-06-19/ev-charger-rollout-keeping-pace-electric-vehicle-uptake/106754272,ABC,https://www.abc.net.au,2026_06_18_19
ABC Alex Lim,2026_07_14_06,Smoke engulfed their cities. Did it make their children sick?,https://www.abc.net.au/news/2026-05-31/bushfire-smoke-impacts-on-unborn-children-as-climate-changes/106700352,ABC,https://www.abc.net.au,2026_06_01_09
ABC Alex Lim,2026_07_14_06,"Batteries are ushering in a new energy era, and Australia is miles ahead",https://www.abc.net.au/news/2026-05-28/australia-global-battery-leader-and-wa-leads-charge/106526042,ABC,https://www.abc.net.au,2026_05_27_18
ABC Alex Lim,2026_07_14_06,The parts of Victoria adding the biggest share to disaster damage bills,https://www.abc.net.au/news/2026-05-19/victoria-infrastructure-risk-from-climate-change/106678950,ABC,https://www.abc.net.au,2026_05_19_00
ABC Alex Lim,2026_07_14_06,A tropical tax paradise sells much of Australia's gas,https://www.abc.net.au/news/2026-05-11/australian-gas-giants-using-singapore-to-reduce-taxes/106632272,ABC,https://www.abc.net.au,2026_05_15_02
ABC Alex Lim,2026_07_14_06,What we know about the 'small fire' that became an 'unprecedented' Geelong refinery blaze,https://www.abc.net.au/news/2026-04-17/geelong-refinery-fire-visual-explainer/106571216,ABC,https://www.abc.net.au,2026_04_17_02
ABC Alex Lim,2026_07_14_06,Iran fuel shock turns EV uptake into a matter of national security,https://www.abc.net.au/news/2026-03-24/fuel-security-exposed-by-iran-war-but-renewables-offer-an-out/106452696,ABC,https://www.abc.net.au,2026_03_25_03
ABC Alex Lim,2026_07_14_06,The summers of today are vastly different to those of our grandparents,https://www.abc.net.au/news/2026-03-12/australias-summers-are-getting-longer-with-more-extreme-heat/106419414,ABC,https://www.abc.net.au,2026_03_18_00
