Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Mark Doman,2024_07_18_05,"'It looks like greenwashing': AustralianSuper's ethical option investing in coal, oil and gas industries",https://www.abc.net.au/news/2024-07-18/australian-super-socially-aware-option-lent-to-coal-oil-and-gas/104108152,ABC,https://www.abc.net.au,2024_07_17_18
ABC Mark Doman,2024_07_18_05,Here's what 3D modelling reveals about what snipers could and couldn’t see moments before shots rang out,https://www.abc.net.au/news/2024-07-17/trump-shooting-3d-model-of-showground-rally-site/104104418,ABC,https://www.abc.net.au,2024_07_16_20
ABC Mark Doman,2024_07_18_05,'Totally immoral' weapons found in share holdings of Australian ethical super funds,https://www.abc.net.au/news/2024-07-01/ethical-super-savings-found-in-controversial-weapons-makers-/104015686,ABC,https://www.abc.net.au,2024_07_16_05
ABC Mark Doman,2024_07_18_05,Questionable billing by some doctors is rife in Australia's medical industry. Here's how it works,https://www.abc.net.au/news/2024-04-08/price-of-pain-doctors-medical-billing-investigation-four-corners/103675900,ABC,https://www.abc.net.au,2024_04_08_08
ABC Mark Doman,2024_07_18_05,"Sheltering with her family in Gaza, Jumana is desperate to make it to Australia before the invasion",https://www.abc.net.au/news/2024-03-09/jumanas-journey-documents-destruction-in-israel-gaza-war/103542040,ABC,https://www.abc.net.au,2024_03_22_02
ABC Mark Doman,2024_07_18_05,"In the early 70s, four paedophiles taught together at this school. Survivors say it was a sign of an insidious crisis",https://www.abc.net.au/news/2024-02-27/beaumaris-primary-inquiry-scratches-surface-of-paedophile-crisis/103503912,ABC,https://www.abc.net.au,2024_02_27_02
ABC Mark Doman,2024_07_18_05,Satellite images of Rafah reveal the reality of more than 1 million people fleeing conflict,https://www.abc.net.au/news/2024-02-20/satellite-images-show-scale-of-tent-city-in-rafah-gaza/103485810,ABC,https://www.abc.net.au,2024_02_20_03
ABC Mark Doman,2024_07_18_05,'I feel like we've all been lied to': Fund members shocked to find green retirement savings invested in fossil fuels,https://www.abc.net.au/news/2023-12-14/sustainable-ethical-super-funds-with-fossil-fuel-investment/103196032,ABC,https://www.abc.net.au,2023_12_18_08
ABC Mark Doman,2024_07_18_05,'It's basically dead': The legacy of decades of logging,https://www.abc.net.au/news/2023-12-01/ai-analysis-finds-failed-forest-regrowth-after-logging-/103153614,ABC,https://www.abc.net.au,2023_11_30_19
ABC Mark Doman,2024_07_18_05,These hotspots dotted across southern Israel reveal the scale of attacks,https://www.abc.net.au/news/2023-10-10/mapping-the-conflict-in-israel-and-gaza/102956502,ABC,https://www.abc.net.au,2023_10_10_08
