Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Carlos Marin,2026_02_08_07,How the Chinese minority navigates identity and politics in PAS’ Kelantan,https://www.straitstimes.com/asia/se-asia/how-the-chinese-minority-navigates-identity-and-politics-in-pas-kelantan,Straits Times,https://www.straitstimes.com/,2026_01_31_05
Carlos Marin,2026_02_08_07,How Singapore’s landscape may change in the years ahead,https://www.straitstimes.com/singapore/how-singapores-landscape-may-change-in-the-years-ahead,Straits Times,https://www.straitstimes.com/,2025_12_21_05
Carlos Marin,2026_02_08_07,Christmas hunt challenge: Can you spot the 25 hidden festive treasures?,https://www.straitstimes.com/multimedia/christmas-25-items-a-game-challenge,Straits Times,https://www.straitstimes.com/,2025_12_18_05
Carlos Marin,2026_02_08_07,Bondi Beach shooting: What we know so far,https://www.straitstimes.com/asia/australianz/bondi-beach-shooting-what-we-know-so-far,Straits Times,https://www.straitstimes.com/,2025_12_15_23
Carlos Marin,2026_02_08_07,The 2026 World Cup calendar,https://www.straitstimes.com/multimedia/the-2026-world-cup-calendar,Straits Times,https://www.straitstimes.com/,2025_12_06_06
Carlos Marin,2026_02_08_07,Track your path to 2026 World Cup glory with The Straits Times’ results simulator,https://www.straitstimes.com/multimedia/world-cup-2026-road-to-world-cup-glory,Straits Times,https://www.straitstimes.com/,2025_12_06_06
Carlos Marin,2026_02_08_07,More than a convenience store: Disappearing mamak shops,https://www.straitstimes.com/multimedia/more-than-a-convenience-store-disappearing-mamak-shops,Straits Times,https://www.straitstimes.com/,2025_09_28_05
Carlos Marin,2026_02_08_07,How hawker signboards tell the story of Singapore,https://www.straitstimes.com/multimedia/how-hawker-signboards-tell-the-story-of-singapore,Straits Times,https://www.straitstimes.com/,2025_09_21_05
Carlos Marin,2026_02_08_07,"‘Unresolved pain’: Last surviving comfort women in Asia seek closure, 80 years on",https://www.straitstimes.com/asia/unresolved-pain-last-surviving-comfort-women-in-asia-seek-closure-80-years-on,Straits Times,https://www.straitstimes.com/,2025_08_30_05
Carlos Marin,2026_02_08_07,How Singapore is rethinking nature in the city,https://www.straitstimes.com/multimedia/how-singapore-is-rethinking-nature-in-the-city,Straits Times,https://www.straitstimes.com/,2025_08_04_05
