Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Sean Lawson,2026_09_18_08,How Swans rebuilt their midfield to challenge for premiership,https://www.abc.net.au/news/2026-09-18/afl-sydney-swans-fremantle-dockers-preliminary-final/107163234,ABC,https://www.abc.net.au,2026_09_17_19
ABC Sean Lawson,2026_09_18_08,Lions' shock loss to Swans was about more than complacency,https://www.abc.net.au/news/2026-09-12/afl-finals-brisbane-lions-sydney-swans-adelaide-crows/107142558,ABC,https://www.abc.net.au,2026_09_11_21
ABC Sean Lawson,2026_09_18_08,"Recent finals history is against Freo, but these numbers could save them",https://www.abc.net.au/news/2026-09-11/afl-fremantle-vs-geelong-analysis-key-stats-preview/107137866,ABC,https://www.abc.net.au,2026_09_10_19
ABC Sean Lawson,2026_09_18_08,Adelaide returns to scene of finals flop to face biggest test of growth,https://www.abc.net.au/news/2026-09-05/afl-adelaide-midfield-test-western-bulldogs-analysis/107116116,ABC,https://www.abc.net.au,2026_09_04_19
ABC Sean Lawson,2026_09_18_08,"Breaking down the brilliance of Nick Daicos, and how to stop it",https://www.abc.net.au/news/2026-08-28/breaking-down-the-brilliance-of-nick-daicos/107083730,ABC,https://www.abc.net.au,2026_08_27_19
ABC Sean Lawson,2026_09_18_08,Resting or tanking? Why your AFL club may not win before finals,https://www.abc.net.au/news/2026-08-07/why-afl-teams-tank-and-whether-it-works-draft/107002986,ABC,https://www.abc.net.au,2026_08_06_19
ABC Sean Lawson,2026_09_18_08,Have the AFL's rule changes worked? Not exactly,https://www.abc.net.au/news/2026-07-24/have-the-afl-s-rule-changes-worked/106954180,ABC,https://www.abc.net.au,2026_07_24_08
ABC Sean Lawson,2026_09_18_08,How the Hawks are making their two-ruck strategy work,https://www.abc.net.au/news/2026-07-17/afl-hawthorn-hawks-two-ruck-strateby-ned-reeves-lloyd-meek/106927436,ABC,https://www.abc.net.au,2026_07_17_03
ABC Sean Lawson,2026_09_18_08,Can Fremantle keep rolling to the AFL minor premiership?,https://www.abc.net.au/news/2026-07-09/can-fremantle-keep-rolling-to-the-afl-minor-premiership/106896166,ABC,https://www.abc.net.au,2026_07_09_03
ABC Sean Lawson,2026_09_18_08,The AFL teams that are holding their nerve the best in clutch moments,https://www.abc.net.au/news/2026-06-16/the-best-afl-teams-in-the-clutch/106797888,ABC,https://www.abc.net.au,2026_06_15_18
