Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Sean Kelly,2024_06_12_14,A play called Julia made me furious – about the national debates we keep stifling,https://www.smh.com.au/politics/federal/a-play-called-julia-made-me-furious-about-the-national-debates-we-keep-stifling-20240609-p5jkdc.html,SMH,https://www.smh.com.au/,2024_06_09_19
Sean Kelly,2024_06_12_14,"As Albanese beats around the bush, Dutton’s delusions are taking root",https://www.smh.com.au/politics/federal/as-albanese-beats-around-the-bush-dutton-s-delusions-are-taking-root-20240531-p5ji8q.html,SMH,https://www.smh.com.au/,2024_06_02_19
Sean Kelly,2024_06_12_14,"Amid the ugly Middle East debate, we’ve lost sight of the obvious",https://www.smh.com.au/world/middle-east/amid-the-ugly-middle-east-debate-we-ve-lost-sight-of-the-obvious-20240524-p5jgh0.html,SMH,https://www.smh.com.au/,2024_05_26_19
Sean Kelly,2024_06_12_14,"Dutton’s grim picture is close to reality, but his migration schtick isn’t the solution",https://www.smh.com.au/politics/federal/dutton-s-grim-picture-is-close-to-reality-but-his-migration-schtick-isn-t-the-solution-20240517-p5jel7.html,SMH,https://www.smh.com.au/,2024_05_19_19
Sean Kelly,2024_06_12_14,Both Albanese and Dutton believe they’re on the right track. But one of them must be wrong,https://www.smh.com.au/politics/federal/both-albanese-and-dutton-believe-they-re-on-the-right-track-but-one-of-them-must-be-wrong-20240510-p5jcmp.html,SMH,https://www.smh.com.au/,2024_05_12_19
Sean Kelly,2024_06_12_14,The art of good government: Slow and steady won’t win Albanese the race,https://www.smh.com.au/politics/federal/the-art-of-good-government-slow-and-steady-won-t-win-albanese-the-race-20240503-p5fosz.html,SMH,https://www.smh.com.au/,2024_05_05_19
Sean Kelly,2024_06_12_14,"Scott Morrison has broken an Australian taboo, and we should be grateful",https://www.smh.com.au/politics/federal/scott-morrison-has-broken-an-australian-taboo-and-we-should-be-grateful-20240426-p5fmtr.html,SMH,https://www.smh.com.au/,2024_04_28_19
Sean Kelly,2024_06_12_14,"Actions speak louder, but without words we can’t see the full horror",https://www.smh.com.au/national/actions-speak-louder-but-without-words-we-can-t-see-the-full-horror-20240421-p5fley.html,SMH,https://www.smh.com.au/,2024_04_21_19
Sean Kelly,2024_06_12_14,Silence descends: Our inability to discuss difficult issues has never been more obvious,https://www.smh.com.au/politics/federal/silence-descends-our-inability-to-discuss-difficult-issues-has-never-been-more-obvious-20240406-p5fhw2.html,SMH,https://www.smh.com.au/,2024_04_07_19
Sean Kelly,2024_06_12_14,"The PM was punching well, until he gave himself an immigration uppercut",https://www.smh.com.au/politics/federal/the-pm-was-punching-well-until-he-gave-himself-an-immigration-uppercut-20240329-p5fg6a.html,SMH,https://www.smh.com.au/,2024_03_31_18
